,fed_party,potus_party,recess,pce,ue,cars,house,cli,loan,exports,rgdp,gdpg,veloc,ffr,d_pce,d_ue,d_cars,d_house,d_cli,d_loan,d_exports,d_rgdp,d_gdpg,d_veloc,d_ffr,b0_spx,b0_usd,b1_spx,b1_usd
2016-04-27,0.0,0.0,0.0,1.64,5.1,17.669,1163.0,99.07615,3.5,3.1,1.3,2.7,5.798,0.38,0.15999999999999992,0.09999999999999964,0.16600000000000037,17.0,-0.16805000000000803,0.0,3.6,0.6000000000000001,2.7,-0.20899999999999963,0.0,1893.881168637063,99.45544472902743,1.4696624144681274,-0.043619523653190787
2016-06-15,0.0,0.0,0.0,1.66,4.9,17.735,1203.0,99.07256,3.5,3.1,1.3,2.7,5.798,0.38,0.06999999999999984,0.0,-0.36100000000000065,-22.0,-0.02823000000000775,0.0,4.2,-0.9999999999999998,3.0,-0.12899999999999956,0.0,1966.2481907443373,96.82769814543315,1.2998651507057242,-0.02600753865251391
2016-07-27,0.0,0.0,0.0,1.67,4.8,18.109,1239.0,99.08393,3.5,6.7,2.9,1.0,5.731,0.4,0.04999999999999982,-0.20000000000000018,0.8180000000000014,128.0,0.004899999999992133,0.0,7.800000000000001,0.6000000000000001,1.3,-0.19599999999999973,0.020000000000000018,2047.4377204709779,93.8349913102734,0.6730256110543434,0.019252244193461453
2016-09-21,0.0,0.0,0.0,1.74,5.0,17.956,1068.0,99.20682,3.5,6.7,2.9,1.0,5.731,0.4,0.06000000000000005,0.20000000000000018,0.26099999999999923,-80.0,0.13071999999999662,0.0,3.6,1.5999999999999999,-1.7000000000000002,-0.06700000000000017,0.020000000000000018,2080.8214918576673,95.15644722045185,0.9223587444680404,0.006062508150753769
2016-11-02,0.0,0.0,0.0,1.82,4.9,17.954,1313.0,99.33022,3.5,-3.0,2.2,1.9,5.708,0.4,0.15000000000000013,0.10000000000000053,-0.15500000000000114,74.0,0.2462900000000019,0.0,-9.7,-0.6999999999999997,0.8999999999999999,-0.022999999999999687,0.0,2166.775932357578,95.50691582356355,-0.14978325827905817,0.012852951923892717
2016-12-14,0.0,0.0,0.0,1.91,4.7,18.277,1252.0,99.63734,3.5,-3.0,2.2,1.9,5.708,0.4,0.19999999999999996,-0.20000000000000018,0.3500000000000014,81.0,0.5135199999999998,0.0,-9.7,-0.6999999999999997,0.8999999999999999,-0.022999999999999687,0.0,2149.411041133058,93.89262628652735,0.27189264519676937,0.062049688859506305
2017-02-01,0.0,1.0,0.0,1.95,4.7,17.652,1190.0,99.76431,3.75,10.1,2.0,2.1,5.647,0.65,0.1299999999999999,-0.20000000000000018,-0.3019999999999996,-123.0,0.43408999999999764,0.25,13.1,-0.20000000000000018,0.20000000000000018,-0.06099999999999994,0.25,2113.131143899148,97.58598655562383,1.5875295130198386,0.04459265211450434
2017-03-15,0.0,1.0,0.0,1.84,4.4,17.061,1190.0,99.88908,3.75,10.1,2.0,2.1,5.647,0.65,-0.010000000000000009,-0.2999999999999998,-0.7310000000000016,50.0,0.407810000000012,0.25,13.1,-0.20000000000000018,0.20000000000000018,-0.06099999999999994,0.25,2184.2068762077565,101.63690172200745,1.6102597942280068,-0.004882107156465587
2017-05-03,0.0,1.0,0.0,1.68,4.4,17.081,1157.0,99.91,4.0,1.4,2.3,1.1,5.556,0.9,-0.27,-0.2999999999999998,-0.5710000000000015,-33.0,0.14569000000000187,0.25,-8.7,0.2999999999999998,-1.0,-0.09100000000000019,0.25,2277.2061185695356,101.48147092655152,0.9477541999430302,-0.013617161207675761
2017-06-14,0.0,1.0,0.0,1.68,4.3,17.13,1249.0,99.92577,4.0,1.4,2.3,1.1,5.556,0.9,-0.22999999999999998,-0.2999999999999998,-0.5690000000000026,-22.0,0.07738999999999407,0.25,-8.7,0.2999999999999998,-1.0,-0.09100000000000019,0.25,2343.3649616409475,102.02588081247347,0.5731994134596481,-0.04089856078501946
